x = 4.531250, T_approx = 213.725490, T_exact = 193.036652
x = 4.550781, T_approx = 214.215686, T_exact = 194.244905
x = 4.570312, T_approx = 214.705882, T_exact = 195.463574
x = 4.589844, T_approx = 215.196078, T_exact = 196.692704
x = 4.609375, T_approx = 215.686275, T_exact = 197.932339
x = 4.628906, T_approx = 216.176471, T_exact = 199.182524
x = 4.648438, T_approx = 216.666667, T_exact = 200.443304
x = 4.667969, T_approx = 217.156863, T_exact = 201.714723
x = 4.687500, T_approx = 217.647059, T_exact = 202.996826
x = 4.707031, T_approx = 218.137255, T_exact = 204.289658
x = 4.726562, T_approx = 218.627451, T_exact = 205.593264
x = 4.746094, T_approx = 219.117647, T_exact = 206.907688
x = 4.765625, T_approx = 219.607843, T_exact = 208.232975
x = 4.785156, T_approx = 220.098039, T_exact = 209.569170
x = 4.804688, T_approx = 220.588235, T_exact = 210.916317
x = 4.824219, T_approx = 221.078431, T_exact = 212.274460
x = 4.843750, T_approx = 221.568627, T_exact = 213.643646
x = 4.863281, T_approx = 222.058824, T_exact = 215.023918
x = 4.882812, T_approx = 222.549020, T_exact = 216.415322
x = 4.902344, T_approx = 223.039216, T_exact = 217.817901
x = 4.921875, T_approx = 223.529412, T_exact = 219.231701
x = 4.941406, T_approx = 224.019608, T_exact = 220.656766
x = 4.960938, T_approx = 224.509804, T_exact = 222.093141
x = 4.980469, T_approx = 225.000000, T_exact = 223.540871
